,hosQuad,Class
103,i shouldnt pay for,0
104,had very bad experiance,0
105,service from front great,0
106,dishes available in buffet,0
107,from housekeeping and chefs,0
108,levels from front desk,0
109,arranged in separate sections,0
110,a restaurant at night,0
111,all the staff of,0
112,food was fine but,0
113,floor meaning if you,0
114,housekeeping and chefs and,0
115,gives me a bit,0
116,timely serving is awesome,0
117,place for family dinner,0
118,homely on arrival and,0
119,after such a long,0
120,stay better i communicate,0
121,and conduct would highly,0
122,a smile on their,0
123,the small things bothered,0
124,the professional level of,0
125,hilton i am home,0
126,sure they would take,0
127,the service on magic,0
128,stayed for  week whe,0
129,internet service in view,0
130,good quality i would,0
131,and overall accomodation was,0
132,the facilities of executive,0
133,felt so comfortable in,0
134,modern and contemporary decor,0
135,helpful friendly and accommodating,0
136,she coordinated very well,0
137,back side not the,0
138,job guys i stayed,0
139,many other problems i,0
140,me just say how,0
141,with you to your,0
142,to make feel like,0
143,but short stay but,0
144,i loved my stay,0
145,car special attention is,0
146,you were pleased with,0
147,hotel and was very,0
148,front office is very,0
149,southnorth indian chinese italian,0
150,the hotel is great,0
151,experienced outside of usa,0
152,me upset and i,0
153,chennai before facilities were,0
154,glitches aside here  ther,0
155,are so kind that,0
156,journey the hotel is,0
157,calm cool and professional,0
158,particularly helpful and always,0
159,it was already too,0
160,moment we checked in,0
161,especially had a good,0
162,are very friendly i,0
163,and sneha for being,0
164,facilities first rate but,0
165,is rooftop and offers,0
166,is closed and we,0
167,we are indeed working,0
168,to the city recently,0
169,wanted a hotel room,0
170,it surprisingly had a,0
171,special thank you hilton,0
172,with family on leisure,0
173,spread  quality  roof t,0
174,friendly the room was,0
175,their guests the food,0
176,i always found each,0
177,more water they put,0
178,for the day this,0
179,great help in planning,0
180,for the price and,0
181,stay was excellent and,0
182,of the people the,0
183,especially for the early,0
184,to me that this,0
185,hilton hotel in chennai,0
186,down side is price,0
187,good service the ambience,0
188,stay here on business,0
189,been better room service,0
190,stayed  nights there en,0
191,you cannot really walk,0
192,recent chennai floods and,0
193,my likingoverall good experiencehave,0
194,in the local traffic,0
195,roof and although small,0
196,he did not return,0
197,meet friends the hilton,0
198,specialties from hilton chennai,0
199,chicken and asparagus risotto,0
200,is pleasing to the,0
201,and indeed it was,0
202,weekend very calm and,0
203,city staff is super,0
204,a hotel so people,0
205,not as great as,0
206,good but still more,0
207,sunday buffet lunch is,0
208,natural cool breeze of,0
209,unfortunately i dont know,0
210,very friendly especially the,0
211,as well on a,0
212,with anand from the,0
213,murgh malai kebab i,0
214,cuisines the water at,0
215,hotel is best one,0
216,was spot on abeit,0
217,and well trained to,0
218,executive floor bookings like,0
219,the traditional approach in,0
220,amazing and the atmosphere,0
221,latest visit to the,0
222,nice quite liked the,0
223,unfortunately the development of,0
224,high and the finish,0
225,airport the bouffe lunch,0
226,yet for my feeling,0
227,the staffs are friendly,0
228,of dishes unforgettable experiencesand,0
229,high grade and has,0
230,staff is there to,0
231,denish every night along,0
232,younger one loved their,0
233,visit the qbarthe pool,0
234,such a positive impression,0
235,another hotel there should,0
236,family for dinner and,0
237,of breakfast dishes cooked,0
238,overall experience is great,0
239,really nice hotel with,0
240,amazing staff the facilities,0
241,staff are exceptional i,0
242,sumptuous breakfast average service,0
243,was fine except the,0
244,and the concierge sorted,0
245,ordered chicken i had,0
246,accommodations were clean and,0
247,chennai for two nights,0
248,have travlled across the,0
249,problem happy with my,0
250,extremely friendly and helpful,0
251,platinum ambassador with the,0
252,and clean everyone from,0
253,breakfast buffet restaurant staffs,0
254,with the condition to,0
255,the house keeping staffs,0
256,not sure the guy,0
257,taking care of customers,0
258,and i stayed there,0
259,home at the time,0
260,and helpful taxi drivers,0
261,excellent  food very goo,0
262,stay  very friendly an,0
263,in a walk away,0
264,entire this past december,0
265,and couldnt have been,0
266,are very pleasant really,0
267,not providing a suite,0
268,every level of staff,0
269,arrangement is a slight,0
270,is good just beside,0
271,everytime waiting staff overly,0
272,warm and friendly smile,0
273,lobby then came the,0
274,july through make my,0
275,you will have some,0
276,the hotel and waited,0
277,because of its location,0
278,colleague off to a,0
279,food is good and,0
280,service decent the rooftop,0
281,bar is must visit,0
282,and she gave me,0
283,helpful stayed in room,0
284,welcoming you back to,0
285,the guest room was,0
286,also near  but no,0
287,hotel close to where,0
288,tub wash area toilet,0
289,to save time rooms,0
290,very good with a,0
291,i was fortunate to,0
292,issue very friendly waiters,0
293,asian and western citibank,0
294,for those with the,0
295,serves shahraj gunja and,0
296,have stayed in hilton,0
297,was gracious caring and,0
298,a welcome drink fruits,0
299,centre nice pool and,0
300,bath tub the body,0
301,room all great very,0
302,a very diverse and,0
303,all a great stay,0
304,wonderful hotel bathroom fiiting,0
305,everything is like it,0
306,friends birthday and its,0
307,way they talk with,0
308,not fault the roomsservicetour,0
309,hilton was because of,0
310,breakfast experience my stay,0
311,or itc rooms infact,0
312,it was right next,0
313,food was divine and,0
314,floor is excellent a,0
315,stay was very pleasant,0
316,the facilities are high,0
317,is operational but do,0
318,have a short stay,0
319,learn that your stay,0
320,the first week of,0
321,while to make it,0
322,the room is good,0
323,a wonderful experience stay,0
324,service and continental food,0
325,attentive particular praise must,0
326,employees i stayed one,0
327,there will be arranged,0
328,food was also delicious,0
329,with great service buffet,0
330,hilton feel like home,0
331,chennai india the staff,0
332,is very customer focused,0
333,to book an airplane,0
334,take seriously service during,0
335,exceptional and professional job,0
336,room and spa are,0
337,was working in chennai,0
338,hotel service is excellence,0
339,my th stay at,0
340,hilton hotel during the,0
341,amazing hilton second stay,0
342,hideous traffic first impression,0
343,are very beautifully maintained,0
344,process was smooth and,0
345,for a day business,0
346,buffet and the morning,0
347,to india and one,0
348,from the time of,0
349,was very pleased with,0
350,services guest relation amenda,0
351,a quick brunch with,0
352,wonderful the signature restaurant,0
353,helpful and friendly she,0
354,staff they remember the,0
355,rooms  there is ,0
356,room the hotel is,0
357,as ny best the,0
358,thanks at the outset,0
359,checked in the hotel,0
360,of their way to,0
361,service are just out,0
362,service great  stylish roo,0
363,location was great and,0
364,week of business travel,0
365,and courteous and make,0
366,i got his name,0
367,rooms with no balcony,0
368,staff providing top notch,0
369,staff rehman also hk,0
370,am usually not one,0
371,property is very nice,0
372,hard to ensure the,0
373,made me feel like,0
374,any guest to choose,0
375,fitness and pool and,0
376,have option of continental,0
377,it has everything that,0
378,better if paved to,0
379,and dinner of a,0
380,is a lot to,0
381,have long trip like,0
382,made it jus so,0
383,the top floor this,0
384,areahave not enjoyed the,0
385,me to fix the,0
386,all got a bit,0
387,fault the roomsservicetour servicesbuffet,0
388,hilton chennai had that,0
389,impressed with the generous,0
390,and good conciergetransport desk,0
391,rating they have the,0
392,stayed  nights in ,0
393,the third time i,0
394,stays ive had in,0
395,time for sharing your,0
396,as expected were comfortable,0
397,great rooms and i,0
398,india i called the,0
399,a awesome experience including,0
400,to choose from to,0
401,airport and metro train,0
402,options very supporting staff,0
403,clean quiet and luxurious,0
404,rates are higher compared,0
405,and refreshing from outside,0
406,of times for trips,0
407,customer service at this,0
408,service value for money,0
409,staff and service is,0
410,had a really great,0
411,gadgets including teacoffee maker,0
412,have to say some,0
413,service and the quality,0
414,failed how do you,0
415,staff i would certainly,0
416,best hotel i tried,0
417,great hotel no complains,0
418,staffs are quick in,0
419,desk staff especially anand,0
420,spread was fantastic there,0
421,very upset about their,0
422,perfunctory yes you can,0
423,out to the housekeeping,0
424,brand i am confident,0
425,that you find in,0
426,ensure a great stay,0
427,that this hotel leads,0
428,welcomed us really well,0
429,is the gorgeous pool,0
430,to have business lunch,0
431,service pros  as i,0
432,well designed food is,0
433,the restaurant i think,0
434,in all aspects location,0
435,rubansrikaanthgunja and caring rakhi,0
436,to do checkout at,0
437,a very busy road,0
438,helpful and the foods,0
439,elaborately done food quality,0
440,areas makes it a,0
441,place for a holiday,0
442,a quiet and relaxing,0
443,a ladder to come,0
444,man the staff were,0
445,as entertainment and shopping,0
446,misplaced after successful meeting,0
447,better room gym has,0
448,trip every day felt,0
449,we used it for,0
450,all drinks are included,0
451,and proffesional staff i,0
452,quite this was my,0
453,or restaurant or housekeeping,0
454,restaurants with very good,0
455,do not offer complimentary,0
456,relaxing the restaurants were,0
457,facilities in its a,0
458,should try it when,0
459,been nothing short of,0
460,meal for me based,0
461,metro station near hotel,0
462,roof top pool great,0
463,the hotel first opened,0
464,close to airport as,0
465,the staff is warm,0
466,would def stay again,0
467,and make me feel,0
468,chennai again we stayed,0
469,truly great but the,0
470,the hospitality has been,0
471,id left my expensive,0
472,could be better but,0
473,to pause for few,0
474,in the first floor,0
475,tidy pool was awesome,0
476,hotel has very courteous,0
477,was always a pleasure,0
478,there the staff take,0
479,week zahid the chef,0
480,with breakfast and the,0
481,of high standard of,0
482,definitely stay at this,0
483,an excellent choice of,0
484,and tourist areas makes,0
485,rest of the city,0
486,place may have to,0
487,stay here again all,0
488,from promptly changing a,0
489,to stay with loved,0
490,and brilliant staff make,0
491,of them and then,0
492,downtown chennai clean big,0
493,by the staff is,0
494,make sure you are,0
495,staying at the hotel,0
496,with stayed only one,0
497,up at the hotel,0
498,on anybodys list the,0
499,when im there the,0
500,rooms large variety in,0
501,is truly amazing special,0
502,in a emergency to,0
503,food hilton chennai is,0
504,i find myself looking,0
505,a hug for awesome,0
506,hotels the hilton however,0
507,of the noise and,0
508,of the corporate booking,0
509,and the room itself,0
510,staff is friendly  room,0
511,for  nights for ,0
512,made our day thanks,0
513,the hilton chennai on,0
514,staff from the cleaners,0
515,really exciting and endearing,0
516,property all as it,0
517,and devastating floods of,0
518,be exactly the same,0
519,surprise when we were,0
520,at vasco from manager,0
521,choice of restaurants is,0
522,very attractive area of,0
523,in chennai will visit,0
524,pretty nice views of,0
525,metro is very affordable,0
526,actually and the rooms,0
527,within close proximity to,0
528,their own taxi to,0
529,i was very tired,0
530,high but not up,0
531,a well equipped gym,0
532,watch the budget in,0
533,the totally blah breakfastoh,0
534,city anymore i chose,0
535,week of june warm,0
536,for accommodating early check,0
537,this standard in guest,0
538,and remembered all my,0
539,to this hotel thinking,0
540,secure at those property,0
541,matter with my team,0
542,gift to the guests,0
543,issue has been very,0
544,kept wide breakfast choice,0
545,bar and the food,0
546,california and few other,0
547,and quickly i stayed,0
548,at par with the,0
549,i cannot thank him,0
550,thats a very good,0
551,the variety of cuisines,0
552,party for him  sures,0
553,fine this has been,0
554,awesome the staffs were,0
555,in short the service,0
556,i entered the hotel,0
557,till i checked out,0
558,the entire team from,0
559,hotel which is more,0
560,is good including lobby,0
561,stay this hotel again,0
562,a wonderful and most,0
563,needed to go the,0
564,very good everybody very,0
565,headed great welcome with,0
566,they have very nicely,0
567,from various countries  canad,0
568,they did not forget,0
569,service good location near,0
570,solo business trip journey,0
571,hilton for both short,0
572,being pestered food is,0
573,you feel right at,0
574,a short visit to,0
575,i only come here,0
576,very prompt for business,0
577,floor has an excellent,0
578,food both restaurants are,0
579,neat and goodnext time,0
580,the moment the front,0
581,grand marble staircases in,0
582,services and cordial behavior,0
583,local food but japanese,0
584,lobby is a bit,0
585,more than mid range,0
586,being a hh member,0
587,couldnt have been more,0
588,as though they are,0
589,food we are in,0
590,lobby which looked very,0
591,the city a little,0
592,anyone wanting to stay,0
593,par above excellence in,0
594,cleanthere was plenty of,0
595,time i come here,0
596,appreciate but once we,0
597,restaurant reviewed separately is,0
598,arts all you can,0
599,is superb and one,0
600,memebers tooo security level,0
601,food are really good,0
602,always with great pleasure,0
603,is very professional and,0
604,become a diamond guest,0
605,this website and we,0
606,our database we hope,0
607,need especially for the,0
608,be the rule in,0
609,stay was good breakfast,0
610,great addition hilton has,0
611,to make sure my,0
612,very talented and i,0
613,was check in we,0
614,to details from one,0
615,which is sent to,0
616,and good hospitality we,0
617,is an escape from,0
618,the service is out,0
619,of to cochin the,0
620,hotel is the caring,0
621,of good experienced customer,0
622,not limited to the,0
623,about airport shuttle didnt,0
624,chennai rather than other,0
625,our way to madurai,0
626,the food here has,0
627,choices overall the facility,0
628,stay i arrived there,0
629,was pretty desolate and,0
630,done food quality at,0
631,with my nephews great,0
632,when u r amidst,0
633,hilton app even allowing,0
634,you are unfamiliar with,0
635,would stay here again,0
636,this hotel very efficient,0
637,bar had great views,0
638,in hilton chennai is,0
639,very nice specially the,0
640,bottle of wine had,0
641,is quite this was,0
642,the staffs are very,0
643,booths are great the,0
644,is very good and,0
645,lushhh this was a,0
646,from the deafening city,0
647,standardization of hotel need,0
648,the experience that makes,0
649,in the radisson blu,0
650,specially after a long,0
651,room that was never,0
652,i can here is,0
653,the ac are terrible,0
654,smile on their face,0
655,attention to detail from,0
656,staff and food are,0
657,it to the room,0
658,it has always been,0
659,in my room had,0
660,very much room had,0
661,rooms feature stateoftheart technology,0
662,to other hotels starting,0
663,ever stayed at a,0
664,nice surroundings the indian,0
665,is there were mosquitos,0
666,also very good the,0
667,good restaurants try the,0
668,the facilities provided which,0
669,and beyond  all staf,0
670,at both restaurants were,0
671,facilities etc check in,0
672,both beautiful places to,0
673,we have come to,0
674,and fits the styling,0
675,is very goodwe had,0
676,good experience friendly staff,0
677,nor from city centre,0
678,a  min ride fro,0
679,the food was absolutely,0
680,one in our family,0
681,outstanding and the variety,0
682,the staff professional and,0
683,and very spacious the,0
684,my needs my office,0
685,trained and professional staff,0
686,hotel for those in,0
687,would come and check,0
688,is well maintained though,0
689,even served me sushi,0
690,the stay experience everyday,0
691,mr ashkar treated us,0
692,i see this as,0
693,who has made this,0
694,behavior impressed our customers,0
695,the room price were,0
696,taking you to all,0
697,look after you  ver,0
698,stayed in for business,0
699,of wine had all,0
700,comfortable sitting arrangements to,0
701,check in process at,0
702,you eat experience at,0
703,mins highly recommended and,0
704,so diverse and well,0
705,city hence easy to,0
706,close to chennai airport,0
707,shopping mall wonderful food,0
708,we had very long,0
709,room boys and girls,0
710,hospitality  would like t,0
711,from the reservation handling,0
712,happy with our rooms,0
713,room  that was ver,0
714,and i honestly could,0
715,order and promptly i,0
716,impeccable cleanliness breakfast and,0
717,really make your experience,0
718,service she provides everyday,0
719,to guild me whether,0
720,last month and would,0
721,you want very high,0
722,from hilton my wife,0
723,the interiors were awesome,0
724,to leave hilton chennai,0
725,to help the guests,0
726,well located about  minute,0
727,being a member here,0
728,nice view from my,0
729,of da art restaurant,0
730,did ms revathy i,0
731,chennai for  night an,0
732,need to be fairly,0
733,had great food great,0
734,the hilton chennai provided,0
735,guests especially amendawho specially,0
736,rate cant go wrong,0
737,to meet and greet,0
738,spa are great common,0
739,price there are so,0
740,so dont expect great,0
741,the near future yours,0
742,by mranand bartenderreally appreciate,0
743,traveled to india on,0
744,venues very happy with,0
745,yet to pick up,0
746,therefore did not impact,0
747,very comfortable in every,0
748,bathroom but there is,0
749,the silver chair in,0
750,recommend trying hilton chennai,0
751,same idea just finishing,0
752,is about  minutes fro,0
753,for several weeks as,0
754,disappearedwore a look like,0
755,beforehand they replied same,0
756,connected hotel when the,0
757,feeling of recent renovation,0
758,the hilton for several,0
759,of another great hilton,0
760,use laundry services as,0
761,are very comfortable the,0
762,japanese fresh fruit fresh,0
763,the reception area was,0
764,checked in the room,0
765,we choose this for,0
766,extra care of me,0
767,hotel to stay when,0
768,polite and helping oin,0
769,dedicated to the needs,0
770,was always without a,0
771,chennai traffic had great,0
772,guys are just rocking,0
773,little slow beds far,0
774,so they had shut,0
775,any hesitation mr anand,0
776,gate through the lobby,0
777,but visited chennai for,0
778,great place with good,0
779,rooms are specious and,0
780,and i was impressed,0
781,indian  hilton hospitality a,0
782,are excellent and comfortable,0
783,keys as we lost,0
784,is a relaxed place,0
785,require and she gave,0
786,the evenings however  recentl,0
787,up dropping me off,0
788,a conveniently located hotel,0
789,and it was magically,0
790,had during my stay,0
791,not hear the highway,0
792,will get chance to,0
793,sit and have a,0
794,late neutral experience but,0
795,office staff very tasty,0
796,the service was also,0
797,king bed suitroom were,0
798,good and you have,0
799,with local travel we,0
800,friendly the food at,0
801,view it would add,0
802,business meet at hilton,0
803,food hobbies and what,0
804,things that didnt work,0
805,good amenities lovely wine,0
806,better equipped i have,0
807,and checkout was also,0
808,customer management the receptionist,0
809,just looks ugly employees,0
810,warmth and friendliness towards,0
811,my subsequent visits the,0
812,the good monica is,0
813,by our guests we,0
814,especially neel naveen ramu,0
815,continental we a group,0
816,you experienced during your,0
817,great experience on my,0
818,the hilton brand warm,0
819,staffs are friendly house,0
820,ample free space and,0
821,the staff lied to,0
822,concierge to vasco to,0
823,on friday at  a,0
824,of chennai were prompted,0
825,i went to the,0
826,dinner has wide choice,0
827,their names down the,0
828,you to your room,0
829,by their brandnew cclass,0
830,wonderful especially in the,0
831,of varieties the quality,0
832,chennai is still rather,0
833,their love the banquet,0
834,we arrived at  p,0
835,fast front desk personnel,0
836,but i certainly appreciated,0
837,there the location is,0
838,highest ideals of hospitality,0
839,executive floor executive lounge,0
840,of service provided was,0
841,see that it maintained,0
842,to remember my name,0
843,personal touch with very,0
844,breakfast and used the,0
845,friendly staff breakfast is,0
846,with hand towels swimming,0
847,here with the option,0
848,times of the bar,0
849,very good also rooms,0
850,either indian style or,0
851,i found many ants,0
852,attentive we stayed in,0
853,a package which included,0
854,great service great staff,0
855,of staff than many,0
856,what you have ordered,0
857,service on a consistent,0
858,was very lucky to,0
859,furnished beds are as,0
860,this was the second,0
861,excellent  whether you lik,0
862,talking amongst themselves and,0
863,of your feedback regarding,0
864,this is my fourth,0
865,really was an beautiful,0
866,the hotel went without,0
867,i this will be,0
868,some of them prepared,0
869,loved my time in,0
870,chennai the quality of,0
871,pleased to inform you,0
872,no good waffles taste,0
873,would rather focus my,0
874,oasis in the midst,0
875,say that this was,0
876,chennai excellent amenities and,0
877,very plaisant anf thete,0
878,have ever experienced at,0
879,hotel with a great,0
880,hotels try to service,0
881,in the near future,0
882,guest relations team are,0
883,and also be privy,0
884,average service team is,0
885,reviewer this is a,0
886,help about the placemement,0
887,staff were very polite,0
888,arrived after a long,0
889,surprised that the bottle,0
890,serve a variety on,0
891,on the executive floor,0
892,airport and business district,0
893,hard to eat this,0
894,there were very friendly,0
895,room was excellent in,0
896,location is debatable not,0
897,hotel suffers is the,0
898,beer i tried the,0
899,very nice very modern,0
900,very friendly an ideal,0
901,the airport nor from,0
902,array to offer in,0
903,there was a warm,0
904,the well known places,0
905,amenities are standard the,0
906,have called them from,0
907,options enjoyed it both,0
908,attentive personnel internet works,0
909,karthik ayna  askardm  ramuconcier,0
910,were outstanding the restaurants,0
911,ordered from the previous,0
912,hilton can do when,0
913,with good variety of,0
914,that is ayna and,0
915,make my visit feel,0
916,is a must excellent,0
917,such situation i shared,0
918,change my fantastic hotel,0
919,vijay moorthy my brothers,0
920,lovely with all the,0
921,level as my parents,0
922,expect what i found,0
923,access to airport and,0
924,beyond to meet our,0
925,colleagues room sevice and,0
926,is great they also,0
927,here for  nights o,0
928,variety of cuisines available,0
929,delight foodoptions umpteen choices,0
930,and tasty the stewards,0
931,comfortable after a day,0
932,floor room you should,0
933,of namitha janardhan on,0
934,noticed the sheets where,0
935,hotel over the weekend,0
936,way to make sure,0
937,it was the hotel,0
938,flooding in the first,0
939,will enjoy the breakfast,0
940,located five star property,0
941,nice staff is very,0
942,excellant i stayed at,0
943,food because for a,0
944,finally the hilton i,0
945,attentive breakfast is fine,0
946,quick beer and agian,0
947,and the food severed,0
948,what i like during,0
949,i think they were,0
950,time not cheap but,0
951,its never too late,0
952,welcoming front desk keep,0
953,airport transfer  access t,0
954,it was a great,0
955,american standard exec lounges,0
956,for  nights and experience,0
957,and the staff the,0
958,from the staff at,0
959,this is a hotel,0
960,of food little heavy,0
961,pretty smooth the location,0
962,about the hotel and,0
963,stay in hotel is,0
964,have been here many,0
965,at my next destination,0
966,buffet breakfast great view,0
967,price with lot choicesall,0
968,going for business to,0
969,chennai in junior suite,0
970,was giving some error,0
971,is fantastic  food room,0
972,bottle excellent breakfast restaurant,0
973,very convenient for my,0
974,directly that same evening,0
975,in another hotel there,0
976,be your memorable one,0
977,clean stayed over for,0
978,change money in the,0
979,the hotel away from,0
980,because q bar i,0
981,the ambience and service,0
982,to stay at i,0
983,here before and would,0
984,must late and not,0
985,travel facilities and an,0
986,the hilton franchise should,0
987,in january of this,0
988,is excellant i stayed,0
989,we provide food and,0
990,i just returned from,0
991,bragged about it but,0
992,from other reviews the,0
993,singapore  chennai and bot,0
994,chennai for one night,0
995,sneha take care of,0
996,helpful staff  the hote,0
997,there is construction going,0
998,wc needs to be,0
999,roof top bar service,0
1000,different hotels with lots,0
1001,an billing for an,0
1002,ensure that we were,0
1003,area the hotel is,0
1004,terras on top and,0
1005,places to stay i,0
1006,of me fantastic service,0
1007,a reminder i always,0
1008,the hotel it was,0
1009,modern and very nice,0
1010,registration  they had informe,0
1011,not to like obviously,0
1012,food have stayed in,0
1013,designed we arrived at,0
1014,and manish at the,0
1015,know why  it ha,0
1016,so surprised the hotel,0
1017,is very affordable extremely,0
1018,throughout the years there,0
1019,a big problem is,0
1020,amazing the wait staff,0
1021,all they are all,0
1022,restaurant  you fantastic hote,0
1023,hilton chennai hilton is,0
1024,standard of luxury that,0
1025,service if you take,0
1026,is amazing with a,0
1027,all i have a,0
1028,me her self and,0
1029,dining was pretty good,0
1030,the only issue that,0
1031,modern amenities one can,0
1032,continent but this time,0
1033,beautiful rooms lovely food,0
1034,staff were all wonderful,0
1035,could actually get a,0
1036,the world certainly at,0
1037,stayed in november when,0
1038,a busy day takes,0
1039,roof bar is super,0
1040,are well loaded with,0
1041,to the needs of,0
1042,recover excellent services and,0
1043,there is no internet,0
1044,everywhere  special taken car,0
1045,service lovely roof top,0
1046,say enough about the,0
1047,was beautifully furnished everything,0
1048,can get everything best,0
1049,all high class business,0
1050,connecting rooms and they,0
1051,and the amenities were,0
1052,was caring and looking,0
1053,purpose is business complimentary,0
1054,quiet a nice place,0
1055,unrivaled customer service and,0
1056,anand the duty manager,0
1057,is fantastic and rooms,0
1058,usual great the hotel,0
1059,there for example one,0
1060,leisure very helpful staff,0
1061,gunja ali mayankmanishkarthikeyan are,0
1062,locations i wish more,0
1063,all is fine the,0
1064,explain detailed room stay,0
1065,much appreciate your feedback,0
1066,hotel does wrong not,0
1067,and since the day,0
1068,is perfect centrally located,0
1069,ok bar counter was,0
1070,and made the stay,0
1071,the rooftop turns into,0
1072,me until night time,0
1073,but turns into a,0
1074,quality of this hotel,0
1075,during my stay having,0
1076,s good rested sleep,0
1077,in the roof the,0
1078,hilton chennai at least,0
1079,which is also close,0
1080,lobby and just    m,0
1081,clean rooms with a,0
1082,staff then hereexecutive lounge,0
1083,and politethe room was,0
1084,large well appointed and,0
1085,my friends four of,0
1086,business trip and stayed,0
1087,top has a nice,0
1088,the rooms are fantastic,0
1089,was too good should,0
1090,brantsma general manager     rogerbrantsmahilto,0
1091,way to make you,0
1092,at our table for,0
1093,i check in and,0
1094,are very nice and,0
1095,and provided necessary support,0
1096,breakfast buffet thank you,0
1097,it didnt disappoint our,0
1098,check in i was,0
1099,all the buffets were,0
1100,awesome stay we came,0
1101,more a bargain which,0
1102,their drinks licence but,0
1103,twice and enjoyed the,0
1104,buffet it also has,0
1105,for your compliments to,0
1106,gates it was apparent,0
1107,amazing especailly at nightbeautiful,0
1108,restaurant particularly impressive chef,0
1109,chose to stay in,0
1110,to this hotel for,0
1111,bird family turtle very,0
1112,at hilton chennai hotel,0
1113,and the hotel provided,0
1114,restaurant with my customers,0
1115,is the decore and,0
1116,was greatwhat a variety,0
1117,value of money sleep,0
1118,good size dinner buffet,0
1119,in fact in any,0
1120,been upgraded to exec,0
1121,hotel is good location,0
1122,loved their pizzas the,0
1123,years ago but we,0
1124,quality and standard is,0
1125,and rooms are spacious,0
1126,and courteous staff small,0
1127,tanya biswas as part,0
1128,and you may want,0
1129,in hilton was good,0
1130,the consumer were foreigner,0
1131,location what a great,0
1132,welcoming environment not only,0
1133,signaled to wait one,0
1134,july we very much,0
1135,hilton it is near,0
1136,property and i have,0
1137,made me stop on,0
1138,the hotel spcl thanks,0
1139,room nicely and keeping,0
1140,the chennai hiltonright from,0
1141,perfectly functional i have,0
1142,times while i was,0
1143,at the panindian restaurant,0
1144,rooms very clean modern,0
1145,frm airport and other,0
1146,you would expect from,0
1147,rest of the hotel,0
1148,business staff are excellent,0
1149,buffet or a la,0
1150,we great work done,0
1151,i stayed one week,0
1152,the stay was excellent,0
1153,as the fitness room,0
1154,the help of vasco,0
1155,serve customers well congrats,0
1156,with the services at,0
1157,soon as i walked,0
1158,the long flight from,0
1159,and royal treatment during,0
1160,the gesture my wife,0
1161,checked in they told,0
1162,plenty of choice of,0
1163,including hiltons and i,0
1164,at breakfast counter were,0
1165,swimming pool is just,0
1166,with you following your,0
1167,desk and restaurant would,0
1168,in this hotel in,0
1169,that i do not,0
1170,very much need with,0
1171,lounge  restaurant i recommen,0
1172,group such warm friendly,0
1173,are friendly and rooms,0
1174,customer service throughout my,0
1175,to watch the live,0
1176,it boasts of three,0
1177,the pool is due,0
1178,business assignment over the,0
1179,service along woth south,0
1180,to show the great,0
1181,was great i got,0
1182,not far from main,0
1183,service personnel are polite,0
1184,speed is extremely good,0
1185,lovely toiletries breakfast was,0
1186,designed such that the,0
1187,near hotel is now,0
1188,restaurant qbar gym pool,0
1189,well both the i,0
1190,breakfast and proximity to,0
1191,as it is a,0
1192,they remember the preferences,0
1193,in the us i,0
1194,less expensive than other,0
